Magma Boots                                         Green Djin:
Magma Legs                                          Underworld Rod
Rift Lance                                          Knight Legs
Golden Armor                                        titan axe
Mastermind Shield                                   Knight Armor
Rift Bow                                            skull staff
Rift Shield                                         hailstorm rod
Rift Crossbow                                       giant sword
Skull Helmet                                        onyx flail
Demonbone Amulet                                    spiked squelcher
Heavy Mace                                          knight axe
Magic Plate Armor
Vile Axe
Abyss Hammer
Nightmare Blade
Devil Helmet
Demon Shield
Steel Boots
War Horn
Hammer of Wrath
death ring
magma amulet
platinum amulet
magma monocle
magma coat
demonrage sword
amber staff
terra legs
